location,year,Artist name,Co-applicant name,Film title,Link
Minnesota,2004,Jila Nikpay,,Keepers of the Garden,http://www.jilanikpay.com/
Minnesota,2004,Tom Schroeder,,A Plan,
Minnesota,2005,Hisham Muhieddine Bizri,,The Tragedy of the Great House ,http://www.hmbizri.com/
Minnesota,2005,Venus DeMars,,Take My Shoulder,http://www.venusdemars.com/
Minnesota,2005,Joanna Kohler,,BOXERS,http://kohlerproductions.com/
Minnesota,2005,Teresa Konechne,,Woven from the Land: women. prairie. culture.,http://www.workinghandsproductions.com/teresa/home.html
Minnesota,2005,Albert Milgrom,,The Red Barn Project,
Minnesota,2005,Jila Nikpay,,Rhythm of Tides,http://www.jilanikpay.com/
Minnesota,2005,Mara V. Pelecis,,Souvenirs,http://souvenirsdocumentary.com/index.html
Minnesota,2005,Jason Wade,,STABBER (working title),
Minnesota,2005,Jake Yuzna,,Open,http://www.jakeyuzna.com/
Minnesota,2006,C. Channon Doerr,,A Man Made of Gold,
Minnesota,2006,David Eberhardt,,Korsang,
Minnesota,2006,Maeri S. Hedstrom,,Interludes,
Minnesota,2006,William Kruse,,Big Boy,http://www.rebelfilmworks.com/talent/kruse.php
Minnesota,2006,Moua Lee,,"Dab Neeg (A Hmong word meaning, “Stories” or “Tales”)",
Minnesota,2006,Wyatt McDill,,Four Boxes,http://www.contentpvdr.com/
Minnesota,2006,Abinadi Meza,,"Like Snow, Falling",http://abinadimeza.blogspot.com/
Minnesota,2006,Christopher Newberry,,American Heart,http://www.minnesotamovie.com/
Minnesota,2006,Mark Tang,Lu Lippold,Open Season,https://www.facebook.com/pages/Open-Season-A-Documentary/161695163848578
Minnesota,2007,Nicole Brending,,Rebel,
Minnesota,2007,Juan Antonio Del Rosario,,The System,http://threevolts.com/#JuanAntonioDelRosario
Minnesota,2007,Andrew J. Koehler,,List of Schindler?s Part I,
Minnesota,2007,Susan Marks,,Of Dolls and Murder,http://www.ofdollsandmurder.com/
Minnesota,2007,Jila Nikpay,,In Waiting,http://www.jilanikpay.com/
Minnesota,2007,Ramon Alberto Nuñez,,Invisible to You,http://ramonreel.com/
Minnesota,2007,Dave Ryan,,The Hungering Deep,
Minnesota,2008,Nicole Brending,,Duluth,
Minnesota,2008,Liza Davitch,,Czar of Cinema (working title),http://www.lizadavitch.com/
Minnesota,2008,Daniel Lundquist,,Filled In Blank,
Minnesota,2008,Catrin Magnusson,,Farming in a Lilac Shirt,
Minnesota,2008,Susannah Patrice Morse,,Haunted by the Light,
Minnesota,2008,Norah L. Shapiro,,Miss Tibet: Beauty in Exile,http://www.flyingpiecesproductions.com/
Minnesota,2008,Va-Megn Thoj,,Occult Racism: The Masking of Race in the Hmong Hunter Killings,
Minnesota,2009,John Akre,,Walker and Driver,http://sloppyfilms.net/
Minnesota,2009,Lisa Blackstone,,Grappling Girls,http://www.lisablackstoneproductions.com/home.html
