Year,Artist name,Co-applicant name,Film title,Link
1997,Alisa Lebow,Cynthia Madansky,Treyf,http://www.madansky.com/
1997,Julia Loktev,,Moment of Impact,
1997,Susan Muska,Gréta Ólafsdóttir,The Brandon Teena Story,
1997,Jeffrey Noyes Scher,,Grand Central,http://fezfilms.net/
1998,Doug Aitken,,Eraser,http://www.dougaitkenworkshop.com/
1998,Omonike Akinyemi,,Nelly’s Bodega,
1998,Zoe Beloff,,Where Where There There Where,http://www.zoebeloff.com/
1998,Cecilia Dougherty,,Gone,http://www.ceciliadougherty.com/
1998,Robert Fenz,,Revival,
1998,Holly Fisher,,Kalama Sutta: Seeing is Believing,
1998,Amy Jenkins,,"Sheltering for Daydreaming, From the Same Water, and Whirligig",http://www.amyjenkins.net/
1998,Kirsten Johnson,Julia Pimsleur,Innocent Until Proven Guilty,
1998,Susan Korda,,One of Us,
1998,Ernest Larsen,,Yellow Cab,
1998,Luca Buvoli,,Flying: Practical Training for Beginners,http://www.lucabuvoli.com/
1998,Eve-Laure Moros,Linzy Emery,Made in Thailand,
1998,Julie Murray-Noble,,"Micromoth, Untitled (Blood), and Deliquium",http://julifilm.blogspot.com/
1998,Allison Prete,,Lavender Lake,
1998,Pola Rapaport,,Blind Light,http://www.polarapaport.com/
1998,Gideon Shmorak,,An Ocean Apart,
1998,Nandini Sikand,,Don’t Fence Me In,http://www.nandinisikand.com/
1998,Joe Sola,,The Anxiety of the Rented Room,http://www.joesola.info/
1998,Debra Solomon,,Everybody’s Pregnant,http://debrasolomon.com/
1998,Kim-Chi Tyler,,Chac,
1998,Richard Wormser,,Behind The Veil,
1998,Alessandra Zeka,Rob Rapley,Të Durosh,http://www.adrenalinefilms.net/index.html
1999,Emily Abt,Yoruba Richen,Take It From Me,http://purelandpictures.com/
1999,Peggy Ahwesh,,The Star Eaters,http://www.hi-beam.net/mkr/pa/pa-bio.html
1999,Shawn Atkins,,The Traveling Eye of the Blue Cat,
1999,Phyllis Baldino,,Color Without Color,http://phyllisbaldino.com/
1999,Lana Bernberg,,Wake Me When It’s Over,
1999,Nicholas Blair,,Our Holocaust Vacation,http://ourholocaustvacation.com/
1999,Eva Ilona Brzeski,,Last Seen,http://evailonabrzeski.com/
1999,Martha Holloway Burgess,,Ignatz’ Nose,http://marthaburgess.com/
1999,Laurie Collyer,,Nuyorican Dream,
1999,Tania Lucia Cypriano,,Grandma Has a Video Camera,http://www.taniacypriano.com/
1999,Alice Elliott,,The Collector of Bedford Street,http://www.newday.com/filmmakers/Alice_Elliott.html
1999,Rodney Evans,,Brother To Brother,http://www.rodneyevansfilm.com/
1999,Jennifer Fieber,,Their Idols Disintegrate,
1999,Nicole Koschmann,,"Black, White and Yellow",
1999,Patrice Mallard,,BRIARS WILL CUT: My Mother’s Line,
1999,Greg Pak,,Brother Killer Wolf,http://gregpak.com/
1999,Walid Ra’ad,,Hostage,http://www.theatlasgroup.org/
1999,Pola Rapaport,,FAMILY SECRET,http://www.polarapaport.com/
1999,Craig Renaud,,A Harlem Tale,http://www.renaudbrothers.com/
1999,Dempsey Rice,,Daughter of Suicide,http://www.dempseyrice.com/
1999,Joel Schlemowitz,,Venus in Furs,http://www.joelschlemowitz.com/
1999,Angel Velasco Shaw,,Excuse me...Are You Pilipino? ,
1999,Sasha Waters,,Razing Appalachia,http://www.pieshake.com/
1999,Juan Carlos Zaldivar,,90 MILES,
2000,Zoe Beloff,,Shadow Land or Light From the Other Side,http://www.zoebeloff.com/
2000,François Bucher,,White Balance (to think is to forget differences),
2000,Lisa DiLillo,,Tongues Don't Have Bones: A Journey Into Burma,www.lisadilillo.com
2000,Tirtza Even,Brian Karl,"Far, Along",http://tirtzaeven.info/
2000,Nicole Franklin,,I Was Made to Love Her,http://www.nicolefranklin.com/
2000,Brian Frye,,Wormwood’s Dog and Monkey Show,http://www.dipperfilms.com/
2000,Jennifer Hardacker,,"Wherever You Go, There You Are",
2000,Dejan Kovacevic,,Mirror,
2000,Sarah Jane Lapp,,Chronicles of A Professional Eulogist,http://www.cinemagoat.com/
2000,Julia Loktev,,Said in Passing,
2000,Thomas Piper,,Can You Get To That:  The Welfare to Work Trip.,
2000,Alex Rivera,,Sleep Dealer,http://alexrivera.com/
2000,Shelly Silver,,Suicide,http://www.shellysilver.com/
2000,Eve Sussman,,China/White—Scenes from an Exile ,http://www.rufuscorporation.com/
2000,Reiko Tahara,,The GateKeeper of Enmyoin,
2000,Hannah Weyer,,Escuela,http://hannahweyer.com/
2001,Linda Goode Bryant,Laura Poitras,Flag Wars,http://www.zeitgeistfilms.com/film.php?directoryname=flagwars&mode=filmmaker
2001,Paul Chan,,"Happiness (Finally) After 35,000 Years of Civilization",http://www.nationalphilistine.com/happiness/
2001,Maya Churi,,Forest Grove,
2001,Lisa Crafts,,The Flooded Playground,http://www.lisacrafts.com/
2001,Jim de Séve,,Tying the Knot,
2001,James Dowell,John Kolomvakis,Ned Rorem:  Word and Music,
2001,Rebecca (Feig) Dreyfus,,STOLEN,
2001,Judd Ehrlich,,Mayor of the West Side,http://flatbushpictures.com/
2001,Elizabeth Elson,,Born in a Barn,
2001,Michael Gitlin,,the birdpeople,http://michaelgitlin.com
2001,Harriet A. Hirshorn,,Pote Mak Sonje:  The Raboteau Trial,
2001,Georgia Lee,,Red Doors,http://www.reddoorsthemovie.com/
2001,Aaron Mathews,,A Panther in Africa,http://www.aaronmatthews.com
2001,Manoshi Chitra Neogy,,Sand Shades,http://www.sandshades.org/
2001,Kristen Nutile,,Secret Mechanisms,http://www.softspokenfilms.com/
2001,Ramón Rivera-Moret,,On Calloway Street,
2001,Matt Ruskin,,The Glen of the Downs,http://www.8feettall.com/
2001,Jeff Shames,Jonathan Skurnik,Spit It Out,http://www.mintleafproductions.com
2001,Rico Speight,,Where Are They Now?,http://ricoworkshop.com
2002,Mark Becker,,Romantico,http://www.meteorfilms.org/
2002,Gregory Branch,,Real-Life Reconciliation,
2002,Katy Chevigny,,Deadline,http://www.bigmouthproductions.com
2002,Tana Hargest,,New Negrotopia,
2002,Yael Kanarek,,World of Awe,http://www.worldofawe.net/
2002,Ross Kauffman & Zana Briski,,Born Into Brothels,http://www.kids-with-cameras.org
2002,Nora Ligorano,Marshall Reese,Fiber Optic Tapestry--50 Different Minds,http://ligoranoreese.net/
2002,Kristin Lucas,,Supervision,http://www169.pair.com
2002,Rena Mundo Croshere,Nadine Mondo,American Commune,http://www.americancommunemovie.com
2002,Mayu Nakamura,,The Summer of Stickelback,
2002,Stefan Roloff,,The Red Orchestra,http://www.when6is9.com
2002,Kit-Yin Snyder,,Double Exposure,http://www.kityinsnyder.com/
2002,Kimberly Wood,,On My Knees,http://www.kimwood.org/
2002,Suzi Yoonessi,,Vern,http://www.suziyoonessi.com
2002,Marina Zurkow,,Nicking the Never,http://www.o-matic.com/
2003,Seoungho Cho,,ws.3,
2003,Jason DaSilva,,Lest We Forget,
2003,Elle Flanders,,Zero Degrees of Separation ,
2003,Leah Gilliam,,Agenda for a Landscape Vol. 6,
2003,Sarah Goodman,,Army of One,http://redstorm.ca/army-of-one/
2003,Jacqueline Goss,,How To Fix The World,http://www.jacquelinegoss.com/
2003,Shaun Irons,Lauren Petty,Artificial Paradise,http://www.automaticrelease.org/
2003,Annemarie Jacir,,like twenty impossibles,
2003,Stephen Marshall,Josh Shore,American Blackout,http://revolutiontheory.com
2003,Liselle Mei,,Lower East Side Stories,http://www.qifilm.com
2003,Alysa Nahmias,Benjamin Murray,Unfinished Spaces,http://www.unfinishedspaces.com
2003,Reynold Reynolds,,Stadtplan,http://artstudioreynolds.com
2003,Richard Rowley,Jacqueline Soohen,The Fourth World War,http://www.bignoisefilms.com
2003,Lynne Sachs,,States of UnBelonging,http://www.lynnesachs.com/
2003,Ruth Sergel,,Belle,http://streetpictures.org/
2003,Kirk Shannon-Butts,,Blueprint,http://www.flickeria.com
2003,Therese Shechter,,I Was a Teenage Feminist,http://www.trixiefilms.com/
2003,Mark Street,,Rockaway,http://www.markstreetfilms.com
2003,Shashwati Talukdar,,Eunuch Alley,shashwati.com
2003,Sarah Teitler,,All Roads Lead to the Sea,http://allroadsleadtothesea.com
2003,Jade Wu,,In Search of Golden Phoenix:  The Invisible Legacy,http://www.goldenphoenixproductions.com
2004,Don Bernier,,In A Nutshell: A Portrait of Elizabeth Tashjian,http://www.mimeticmedia.com/main.html
2004,Nicole Cattell,,REVOLUC!ON: CINCO MIRADAS/ FIVE VISIONS,http://www.nicolecattell.com/
2004,Norman Cowie,,The Dimension In Which It Reigns Supreme,http://www.vdb.org/artists/norman-cowie
2004,Joseph Cultrera,,HAND OF GOD,http://www.zingerplatz.com/
2004,Angie Eng,,Memobile,http://angieeng.com/
2004,Diane Fraher,,THE REAWAKENING,http://amerinda.org/reawakening/thestory.htm
2004,Louis V. Galdieri,Ken Ross,1913 Massacre,http://1913massacre.com
2004,Denis Iris,,A Year of Minimentals,http://www.deniseiris.com
2004,Jacquie Jones,,"Diagnosis: Babies, Breast Cancer & the Lives of Modern Women",
2004,Shin il Kim,,Invisible Masterpiece,
2004,Jeanne Liotta,,Observando El cielo,http://www.jeanneliotta.net
2004,Cynthia Madansky,,Presence,http://www.madansky.com/
2004,Tricia McLaughlin,,SeeWorld,http://www.triciamclaughlin.net/
2004,Kristen Nutile,,Loss,http://www.softspokenfilms.com/
2004,Catalina Santamaria,,Luminescence,
2004,Kit-Yin Snyder,,Me & Marco Polo,http://www.kityinsnyder.com/
2004,Scott Solary,Luci Westphal,All God’s Children,
2004,Thea St. Omer,,GAZE: a look at love,http://trufilms.com/
2004,Marjan Tehrani,,Arusi Persian Wedding,http://www.allgodschildrenthefilm.com
2004,Melissa Young,,Fireflies and June Bugs,
2005,Louis A. Abelman,Bent-Jorgen Perlmutt,Lumo,http://www.louisabelman.com/
2005,Signe Baumane,,Birth,http://www.signebaumane.com/
2005,Andrew Berends,,The Blood of My Brother: A Story of Death in Iraq,http://www.storytellerinc.com/
2005,Virgilio “Vee” Bravo,,Estilio Hip Hop,http://www.pbs.org/itvs/globalvoices/estilohiphop.html
2005,Martha Colburn,,Destiny Manifesto and Meet Me in Wichita,http://www.marthacolburn.com/
2005,Lisa Fisher,,Positive Women (working title),
2005,Joshua Frankel,,BICYCLE MESSENGERS,http://joshuafrankel.net/
2005,Richard Hankin,,Home Front,http://www.lookingglassfilms.net/index.html
2005,Shalini Kantayya,,A Drop of Life,http://shalinikantayya.net/
2005,Jodi Kaplan,,In the Blood,http://www.jodikaplan.com/
2005,Gregory King,,Rotating Mirror,http://www.gregoryking.net/film/
2005,Marie Losier,,The Ontological Cowboy,http://marielosier.net/
2005,Karen Mafundikwa,,The Price of Memory,https://www.facebook.com/pages/The-Price-of-Memory/286344298087129
2005,Tomoko Oguchi,,Folklore Restaurant,http://www.tomokooguchi.com/Home.html
2005,JP Olsen,,The Narcotic Farm,http://www.narcoticfarm.com/index.html
2005,Bari Pearlman,,Daughters of Wisdom,http://www.btgproductions.com/
2005,Daniel Ragussis,,Haber,http://www.haberfilm.com/index.html
2005,Yoruba Richen,,Promised Land,http://www.promisedlandfilm.com/
2005,Tara Wray,,"Manhattan, Kansas",http://www.tarawray.net/
2006,Keith Bearden,,Train Town,http://lapster.wix.com/keithbearden
2006,Cherien Dabis,,Make a Wish,http://cheriendabis.me/
2006,Yunah Hong,,Anna May Wong: In Her Own Words,
2006,Sarah Kunstler,Emily Kunstler,William Kunstler: Disturbing the Universe,http://disturbingtheuniverse.com/
2006,Lanre Olabisi,,August the First,http://www.augustthefirst.com/
2006,Marlo Poras,,Run Granny Run,
2006,Matthew Frank Thomas,,The Kindness of Strangers,http://www.matthewthomasart.com/
2006,Suzi Yoonessi,,"Dear Lemon Lima,",http://www.suziyoonessi.com/
2006,Adam Zucker,,Greensboro: Closer to the Truth,http://www.greensborothemovie.com/film/index.html
2007,Mitch Deoudes,,The Death of Doctor Island,http://houseofpain.org/
2007,Jörg Fockele,,Limbus,http://fockele.com/index_fl.html
2007,Sarah Friedland,,Thing With No Name,http://sarahfriedland.com/
2007,Jennifer Grausman,,Pressure Cooker,http://www.nonsequiturproductions.com/
2007,Lovisa Inserra,,Buster,http://www.bunkerland.com/
2007,Maryam Keshavarz,,Persian Fashionistas: A New Generation of Revolutionaries,http://www.maryamkeshavarz.com/
2007,Mitch McCabe,,Youth Knows No Pain,http://mitchmccabe.com/
2007,Moon Molson,,Crazy Beats Strong Every Time,http://www.crazybeatsstrong.com/
2007,Ian Olds,,Fixer: The Taking of Ajmal Naqshbandi,http://arts.columbia.edu/film/ian-olds
2007,Rachel Perkoff,,Another Lost Angel,http://www.anotherlostangel.org/
2007,Gabriella Spierer,,RAISING INMATE 3851,http://adhesivefilms.net/index.html
2007,Ray Tintori,,Glory At Sea,http://court13.com/
2007,Luci Westphal,,All’s Well and Fair,http://allswellandfair.com/
2008,Natalia Almada,,El General,http://www.altamurafilms.com/
2008,Michael L. Brown,,25 to Life,http://25tolifefilmsite.com/
2008,Michael Collins,,Give Up Tomorrow,http://www.pacodocu.com/
2008,J.B. Herndon,,Autopilot,https://www.facebook.com/pushingtheelephant
2008,Mai Iskander,,Garbage Dreams,http://www.recurringfilms.com/home.html
2008,Ana Joanes,,"Fresh
",http://www.garbagedreams.com/
2008,Erik Levine,,cocker,http://www.freshthemovie.com/
2008,Kalup Linzy,,Notes from a Limerent,http://www.eriklevine.com/index.html
2008,Elizabeth Mandel,Beth Davenport,Pushing The Elephant,http://www.kaluplinzyartist.com/
2008,John Menick,,Paris Syndrome,http://www.johnmenick.com/
2008,Elinyisia Mosha,,Anatomy of Poverty,http://firelightmedia.tv/2011/01/elinyisia-mosha/
2008,Aaron Schock,,CIRCO (”Circus”),
2008,Jackie Smith,,If I Leap,http://ericmorrell.net/work/if-i-leap
2008,Rachel Smith,,The Problem of Haiti,
2008,Stephanie Wang-Breal,,"Wo Ai Ni Mommy (I Love You, Mommy)",http://www.stephaniewangbreal.com/
