Year,Artist name,Co-applicant name,Film title,Link
1995,LeAnn Erickson,,From One Place to Another: Emma Goldman Clinic Stories,http://sites.temple.edu/leannerickson/
1995,Karen Haselmann,,Burning Desire,
1995,Dawn Renee Jones,,Shiny Stockings,
1995,John R. Killacky,,Stolen Shadows,
1995,Karen Kysar,,untitled ,
1995,Kathleen Laughlin,,Women on Fire: Menopause Stories,http://www.menopausevideo.com/
1995,Gemma Lockhart,,The Way Home,
1995,Patrick Maun,,brieth,http://www.patrickmaun.com/
1995,Debra L. McClutchy,,Let the Girl Play,
1995,Monteith McCollum,,Hybrid,http://www.monteithmccollum.com/
1995,Shawn McConneloug,Greg Cummins,Souvenir,
1995,Lorraine Norrgard,,Looks into the Night,
1995,Lori Phelps,,"Big Trouble Up North, NOW - Mine Crandon",
1995,Suzan Pitt,,Joy Street,
1995,Adriana Rosas,,A Vow of Silence,
1995,Mary Hoyt Slaughter,,White Calf,
1995,George G. Souladze,,Ground Rules,
1995,Marshall Weber,,Beautiful Losers,http://www.munchgallery.com/marshall_weber
1996,Shelli Ainsworth,,Stay Then Go,http://staythengo.com/
1996,Pamela Colby,Lu Lippold,The Unapologetic Life of Margaret Randall,
1996,Matt Ehling,,Forbidden City,
1996,Lisa Fisher,,Beyond Diagnosis: Our Journeys With Breast Cancer,
1996,Patrick Hennessey,,The Homeless Home Movie,http://www.homelesshomemovie.com/
1996,Barry Kimm,,Meteor,http://barrykimm.com/
1996,Michele Ann Lepsche,,Ink Blot,
1996,Amy Ostergaard,,White Wash,
1996,Rafael Viera,,The Stall,
1996,John Whitehead,,Down in the Valley,
1996,Judith Yourman,,Refugee Memories,
1997,Mo Donahue,,Soft Boiled Desire,
1997,Michael Hazard,,Solar Power & Moonshine,
1997,Dejunius Hughes,,Phillips Gateway Documentary,
1997,Kella Prill,,Freight,
1997,Eric Tretbar,,Snow,http://www.girlmeetsbikemovie.com/
1997,Rafael Viera,,Leaving With Love,
1998,Thalia Drori,,Waiting for Darryl,
1998,T. J. Larson,,Stories From The Bottle,
1998,Kathleen Laughlin,,We Will Harbor You: A History of Minnesota’s Battered Women’s Movement,http://www.menopausevideo.com/
1998,Jenny Lion,,Aloha Good-bye,
1998,Mattie Lufkin,,Java-Funk Minnesota ,
1998,Bienvenida Matias,,Leaving el Barrio,
1998,Sarah Penman,Mark Anthony Rolo,The Great Woodland Indian Mini-Tour,
1999,Ayesha Adu,,Cord,
1999,Matt Ehling,,Access,
1999,Mary John,,All My Relatives,
1999,Steven Kelly,,Waking Giant,
1999,Matthew Magratten,,The Well,
1999,Steven Matheson,,Apple Grown in a Wind Tunnel,
1999,Wyatt McDill,,Garbage Man,
1999,Tara Spartz,,I Hate Babysitting,
2000,Emily Goldberg,,Venus of Mars,http://www.hwpics.com/venusofmars/index.html
2000,Steven Larson,,Beyond Duluth,
2000,Eric Mueller,,This Car Up,
2000,Kelly Nathe,,I Took a Bosnian Lover,
2000,Christopher Newberry,,Agora,http://www.minnesotamovie.com/
2000,Mark Pitsch,,Uneasy Peace: Ten Years After the Contra War,
2000,Darren Roark,,Tilt!,
2000,Tom Schroeder,,Riding with Harv,
2000,John Gregory Yolen,,Don Ciegna,
2001,Lisa Davitch,,Victory Square,
2001,Thalia Drori,,Toxic Energy:  Little Miss Potentiality Returns,
2001,Lynn Lukkas,,Oculus: Yangtze,
2001,Coleman Miller,,Uso Justo,http://www.colemanmiller.com/
2001,Richard Shelton,,The Coonhuntin’ Stories of Boo Larrington,
2001,Karen Taulelle,,CARNY,
2001,Marie Françoise Theodore,,Rebel in the Soul,
2001,Mickie Turk,Rosalie Sundin,Wayward Girls,http://mickieturkauthor.blogspot.com
2002,Billy Golfus,,Sex and the Single Gimp,
2002,Chris Larson,,County Line,http://www.magnusmuller.com/artists/chris-larson.php
2002,Adam Levy,,"10,000 Years",http://www.adamlevy.com/
2002,Mattie Lufkin,,He Ain’t Heavy,
2002,John O’Brien F.,,The Rise and Fall of it All,
2002,Matthew Stenerson,,How to Read a Letter at the End of a Movie,
2002,Amanda Taylor,,Freak of Nature,
2002,Kang Vang,,Miskas “American”,
2002,Mark Wojahn,,What America Needs 2002,http://www.whatamericaneeds.org/
2003,Olive Bieringa,Otto Ramstad,Winona,http://www.bodycartography.org/
2003,Matt Ehling,,Taking Liberties,
2003,Steven J. Foley,,Strange As Angels,
2003,Keith Rollins Lockwood,,Where The DJ's Roam,http://www.krlproductions.com/
2003,Meesh Mousavi,,My Life as a Terrorist,http://meeshmousavi.com/
2003,Benjamin Riesman,,Flight,
2003,William Slichter,,Flourtown,http://windpoweredpictures.com/
2003,Laurie Stern,Dan Luke,CARRY IT FORWARD!,
2003,Marcus Young,,"Thoughts #1, #2",
